,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
38,Beah Richards,1,1967,1967,0,1920,,723968,,1920-7-12,"Vicksburg, Mississippi, USA"
129,Gene Tierney,1,1945,1945,0,1920,,74,,1920-11-19,"Brooklyn, New York City, New York, USA"
298,Melina Mercouri,1,1960,1960,0,1920,,580479,,1920-10-18,"Athens, Greece"
336,Peggy Lee,1,1955,1955,0,1920,,498007,,1920-5-26,"Jamestown, North Dakota, USA"
367,Shelley Winters,4,1951,1972,21,1920,,1859,,1920-8-18,"St. Louis, Missouri, USA"
54,Carol Channing,1,1967,1967,0,1921,,151919,,1921-1-31,"Seattle, Washington, USA"
82,Deborah Kerr,6,1949,1960,11,1921,,39,,1921-9-30,"Hillhead, Glasgow, Scotland, UK"
94,Donna Reed,1,1953,1953,0,1921,,1656,,1921-1-27,"Denison, Iowa, USA"
165,Jan Sterling,1,1954,1954,0,1921,,12443,,1921-4-3,"New York City, New York, USA"
206,Judy Holliday,1,1950,1950,0,1921,,391062,,1921-6-21,"New York City, New York, USA"
233,Lana Turner,1,1957,1957,0,1921,,1805,,1921-2-8,"Wallace, Idaho, USA"
315,Nancy Kelly,1,1956,1956,0,1921,,446715,,1921-3-25,"Lowell, Massachusetts, USA"
374,Simone Signoret,2,1959,1965,6,1921,,797531,,1921-3-25,"Wiesbaden, Hesse, Germany"
383,Susan Peters,1,1942,1942,0,1921,,676688,,1921-7-3,"Spokane, Washington, USA"
30,Ava Gardner,1,1953,1953,0,1922,,1257,,1922-12-24,"Grabtown, North Carolina, USA"
32,Barbara Bel Geddes,1,1948,1948,0,1922,,895,,1922-10-31,"New York City, New York, USA"
96,Dorothy Dandridge,1,1954,1954,0,1922,,199268,,1922-11-9,"Cleveland, Ohio, USA"
103,Eleanor Parker,3,1950,1955,5,1922,,662223,,1922-6-26,"Cedarville, Ohio, USA"
145,Grayson Hall,1,1964,1964,0,1922,,355621,,1922-9-18,"Philadelphia, Pennsylvania, USA"
205,Judy Garland,2,1954,1961,7,1922,,23,,1922-6-10,"Grand Rapids, Minnesota, USA"
230,Kim Hunter,1,1951,1951,0,1922,,1375,,1922-11-12,"Detroit, Michigan, USA"
268,Margaret Leighton,1,1971,1971,0,1922,,500364,,1922-2-26,"Barnt Green, Worcestershire, England, UK"
23,Anne Baxter,2,1946,1950,4,1923,,879,,1923-5-7,"Michigan City, Indiana, USA"
41,Betsy Blair,1,1955,1955,0,1923,,86198,,1923-12-11,"Cliffside Park, New Jersey, USA"
