Year,Age,No,Name,Movie,imdbID,ambiguous?,bday,bplace
2004,37,4,Jamie Foxx,Ray,4937,,1967-12-13,"Terrell, Texas, USA"
1929,38,1,Warner Baxter,In Old Arizona,62828,,1889-3-29,"Columbus, Ohio, USA"
1938,38,2,Spencer Tracy,Boys Town,75,,1900-4-5,"Milwaukee, Wisconsin, USA"
1945,38,3,Ray Milland,The Lost Weekend,1537,,1907-1-3,"Neath, Glamorgan, Wales, UK"
1949,38,4,Broderick Crawford,All the King's Men,2024,,1911-12-9,"Philadelphia, Pennsylvania, USA"
1950,38,5,Jose Ferrer,Cyrano Bergerac,1207,José Ferrer,1912-1-8,"Santurce, Puerto Rico"
1955,38,6,Ernist Borgnine,Marty,308,Ernest Borgnine,1917-1-24,"Hamden, Connecticut, USA"
1975,38,7,Jack Nicholson,Cuckoo's Nest,197,,1937-4-22,"Neptune, New Jersey, USA"
1994,38,8,Tom Hanks,Forrest Gump,158,,1956-7-9,"Concord, California, USA"
2005,38,9,Philip Seymour Hoffman,Capote,450,,1967-7-23,"Fairport, New York, USA"
1963,39,1,Sidney Pointier,Lilies of the Field,1627,Sidney Poitier,1927-2-20,"Miami, Florida, USA"
1982,39,2,Ben Kingsly,Gandhi,1426,Ben Kingsley,1943-12-31,"Scarborough, Yorkshire, England, UK"
2011,39,3,Jean Dujardin,The Artist,241121,,1972-6-19,"Rueil-Malmaison, Hauts-de-Seine, France"
1941,40,1,Gary Cooper,Sergeant York,11,,1901-5-7,"Helena, Montana, USA"
1971,40,2,Gene Hackman,The French Connection,432,,1930-1-30,"San Bernardino, California, USA"
1978,40,3,Jon Voight,Coming Home,685,,1938-12-29,"Yonkers, New York, USA"
1999,40,4,Kevin Spacey,American Beauty,228,,1959-7-26,"South Orange, New Jersey, USA"
1932,41,1,W. Beery,The Champ/Dr. Jekyll and Mr. Hyde,458,,1950-3-20,"Washington, District of Columbia, USA"
1936,41,2,Paul Muni,Story of Louis Pasteur,612847,,1895-9-22,"Lemberg, Galicia, Austria-Hungary [now Lviv, Ukraine]"
1944,41,3,Bing Crosby,Going My Way,1078,,1903-5-2,"Tacoma, Washington, USA"
1948,41,4,Laurence Olivier,Hamlet,59,,1907-5-22,"Dorking, Surrey, England, UK"
1965,41,5,Lee Marvin,Act Ballou,1511,,1924-2-19,"New York City, New York, USA"
2015,41,6,Leonardo DiCaprio,The Revenant,138,,1974-11-11,"Hollywood, Los Angeles, California, USA"
2016,41,7,Casey Affleck,Manchester by the Sea,729,,1975-8-12,"Falmouth, Massachusetts, USA"
1967,42,1,Rod Steiger,In the Heat of The Night,1768,,1925-4-14,"Westhampton, New York, USA"
1979,42,2,Dustin Hoffman,Kramer vs. Kramer,163,,1937-8-8,"Los Angeles, California, USA"
1990,42,3,Jeremy Irons,Reversal of Fortune,460,,1948-9-19,"Cowes, Isle of Wight, England, UK"
1942,43,1,James Cagney,Yankee Doodle Dandy,10,,1899-7-17,"New York City, New York, USA"
1957,43,2,Alec Guiness,Bridge on River Kwai,27,Alec Guinness,1914-4-2,"Marylebone, London, England, UK"
1968,43,3,Cliff Robertson,Charly,731772,,1923-9-9,"La Jolla [now in San Diego], California, USA"
1970,43,4,George C Scott,Patton,1715,George C. Scott,1927-10-18,"Wise, Virginia, USA"
1987,43,5,Michael Douglas,Wall Street,474,Michael Keaton,1951-9-5,"Coraopolis, Pennsylvania, USA"
2003,43,6,Sean Penn,Mystic River,576,,1960-8-17,"Santa Monica, California, USA"
1928,44,1,Emil Jannings,The Last Command,417837,,1884-7-23,"Rorschach, St. Gallen, Switzerland"
1966,44,2,Paul Scofield,A Man For All Seasons,6890,,1922-1-21,"Hurstpierpoint, West Sussex, England, UK"
2013,44,3,Matthew McConaughey,Dallas Buyers Club,190,,1969-11-4,"Uvalde, Texas, USA"
1984,45,1,F. Murray Abraham,Amadeus,719,,1939-10-24,"Pittsburgh, Pennsylvania, USA"
1996,45,2,Geoffry Rush,Shine,1691,Geoffrey Rush,1951-7-6,"Toowoomba, Queensland, Australia"
2006,45,3,Forest Whitaker,Last King of Scotland,1845,,1961-7-15,"Longview, Texas, USA"
1962,46,1,Gregory Peck,To Kill a Mockingbird,60,,1916-4-5,"La Jolla [now in San Diego], California, USA"
1998,46,2,Robert Benigni,Life is Beautiful,905,Roberto Benigni,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Tuscany, Italy"
1960,47,1,Burt Lancaster,Elmer Gantry,44,,1913-11-2,"New York City, New York, USA"
2001,47,2,Denzel Washington,Training Day,243,,1954-12-28,"Mount Vernon, New York, USA"
1943,48,1,Paul Lukas,Watch on the Rhine,510134,,1891-5-26,"Budapest, Austria-Hungary [now Hungary]"
1958,48,2,David Niven,Separate Tables,57,,1910-3-1,"London, England, UK"
1972,48,3,Marlon Brando,The Godfather,8,,1924-4-3,"Omaha, Nebraska, USA"
1973,48,4,Jack Lemmon,Save The Tiger,493,,1925-2-8,"Newton, Massachusetts, USA"
2008,48,5,Sean Penn,Milk,576,,1960-8-17,"Santa Monica, California, USA"
1935,49,1,Victor McLagen,The Informer,572142,Victor McLaglen,1886-12-10,"Tunbridge Wells, Kent, England, UK"
1946,49,2,Fredric March,Best Years of Our Lives,545298,,1897-8-31,"Racine, Wisconsin, USA"
2010,50,1,Colin Firth,The King's Speech,147,,1960-9-10,"Grayshott, Hampshire, England, UK"
1952,51,1,Gary Cooper,High Noon,11,,1901-5-7,"Helena, Montana, USA"
1988,51,2,Dustin Hoffman,Rain Man,163,,1937-8-8,"Los Angeles, California, USA"
2007,51,3,Daniel Day-Lewis,There Will Be Blood,358,,1957-4-29,"Greenwich, London, England, UK"
1951,52,1,Humphrey Bogart,The African Queen,7,,1899-12-25,"New York City, New York, USA"
1983,52,2,Robert Duvall,Tender Mercies,380,,1931-1-5,"San Diego, California, USA"
1992,52,3,Al Pacino,Scent of a Woman,199,,1940-4-25,"Manhattan, New York City, New York, USA"
1931,53,1,Lionel Barrymore,A Free Soul,859,,1878-4-28,"Philadelphia, Pennsylvania, USA"
1991,54,1,Anthony Hopkins,Silence of the Lambs,164,,1937-12-31,"Margam, Port Talbot, West Glamorgan, Wales, UK"
2012,55,1,Daniel Day-Lewis,Lincoln,358,,1957-4-29,"Greenwich, London, England, UK"
1947,56,1,Ronald Coleman,A Double Life,172903,Ronald Colman,1891-2-9,"Richmond, Surrey, England, UK"
1964,56,2,Rex Harrison,My Fair Lady,1322,,1908-3-5,"Huyton, Lancashire, England, UK [now Huyton, Knowsley, Merseyside, England, UK]"
1974,56,3,Art Carney,Harry and Tonto,138770,,1918-11-4,"Mount Vernon, New York, USA"
1976,60,1,Peter Finch,Network,2075,,1916-9-28,"South Kensington, London, England, UK"
1997,60,2,Jack Nicholson,As Good As It Gets,197,,1937-4-22,"Neptune, New Jersey, USA"
2009,60,3,Jeff Bridges,Crazy Heart,313,,1949-12-4,"Los Angeles, California, USA"
1986,61,1,Paul Newman,The Colour of Money,56,,1925-1-26,"Shaker Heights, Ohio, USA"
1930,62,1,George Arliss,Disraeli,2183,,1868-4-10,"London, England, UK"
1969,62,2,John Wayne,True Grit,78,,1907-5-26,"Winterset, Iowa, USA"
1981,76,1,Henry Fonda,On Golden Pond,20,,1905-5-16,"Grand Island, Nebraska, USA"
