,script_id,imdb_id,title,year,gross,lines_data,female,male,movie,total,female_per,male_per
907,6155,tt0070355,Magnum Force,1973,,77777474547577767776674,227,2532,,2759,0.08227618702428416,0.9177238129757158
908,2824,tt0097815,Major League,1989,109.0,523433677777777777777777777767733377577776534344577743676665577777776564474344344337777777767762433447767777776533333777777777777777777777767633477577776533444577733775756577777775663573443443347777777677761443357767777775,4882,20150,,25032,0.1950303611377437,0.8049696388622564
909,8423,tt0089537,Mala Noche,1986,,76557656667777777777777777777777777777777777776775,0,2582,,2582,0.0,1.0
910,1126,tt0104797,Malcolm X,1992,101.0,776535725330177777777775437777665677473777777777777777777745343437777444677776434376776577547773,859,8054,,8913,0.0963760798833165,0.9036239201166835
911,8653,tt1587310,Maleficent,2014,256.0,3214134200230343311465324124345603444675451612332132105401100235334130000000002201103231043302212340421211,10063,4766,,14829,0.6786027378784814,0.32139726212151865
912,1127,tt0328099,Malibu's Most Wanted,2003,49.0,766677775456434666776777776447753443634567357767434777777777777776454647767634345664677767767656777754557776545435656767775657767672,1544,9810,,11354,0.13598731724502378,0.8640126827549762
913,7548,tt0107497,Malice,1993,96.0,4445224266755233445777777773143424243745336355777723241137377664574677475426777774244674342246335212,3136,6707,,9843,0.31860205221985166,0.6813979477801483
914,6388,tt0113749,Mallrats,1995,4.0,676554777746776767754767675417777777777776474637765,677,4793,,5470,0.12376599634369287,0.8762340036563071
915,1128,tt0328107,Man on Fire,2004,109.0,5577777755777744253744775337545674777477576457767777775477777777777777777777767777754776654,2015,5133,,7148,0.2818970341354225,0.7181029658645776
916,2833,tt0125664,Man on the Moon,1999,59.0,6767777775666777777677677763577777776477757777776475444345663654665656777777755777775654447777677467767667777775675777777677677763577777776477757777776475453345673554666565777777764777775655437777677557762,1356,15692,,17048,0.07954012200844673,0.9204598779915533
917,1129,tt0104804,Man Trouble,1992,8.0,34354443200201535036445445343434333424100444434300113343577614346423323536677754455675366645775777477773,4239,6493,,10732,0.39498695490123,0.6050130450987701
918,7871,tt3064298,Man Up,2015,,0000022200000174434435444343643443444545344433432544524433343543542353365531331134343252243343414354323213233577703553232432663263245324440,4694,4156,,8850,0.5303954802259887,0.4696045197740113
919,4588,tt0073349,Mandingo,1975,,664766755767673776314565665,665,2786,,3451,0.1926977687626775,0.8073022312373225
920,2846,tt0107507,Manhattan Murder Mystery,1993,23.0,342322017773224435222344446447445653444544355654433343434342435443634343334435353534434434334434343243443553352354343443443443435434343353434343343434332323434423313434343334433343443343343433434434433443635433363633342246335151421123544323434345777533413,10147,12493,,22640,0.44818904593639575,0.5518109540636043
921,1136,tt0091474,Manhunter,1986,20.0,7776355475777777777744367777777777776775657467776767775247777457777777777777777733473344212477777426777777377777543442,1310,8650,,9960,0.13152610441767068,0.8684738955823293
922,7307,tt2172584,Maps to the Stars,2014,,3764633370000333466645443445444541100043453577746410000000036545235455240057443730253122320035252,4136,3360,,7496,0.551760939167556,0.44823906083244397
923,8992,tt0466893,Margaret,2011,,42254344343210032235401234135143510415241342303044240000000332432342342342433471351000000376652333300000000002000130134133331000333353233524425454343000023000000000202232252230461333333345052013021354233321132300,17229,7921,,25150,0.6850497017892644,0.3149502982107356
924,2852,tt1615147,Margin Call,2011,5.0,7332257777777677777777777777777777777777777777775576775777757567777535366777777777767777743777654577744577777777777777777777777754424677763340,1107,11181,,12288,0.090087890625,0.909912109375
925,2854,tt0757361,Margot at the Wedding,2007,2.0,535232100022153333434343110120222245310034443244333223303333335446524231026433333133334414002313010032234433443413000040343342533432200211221437100233443425234033213333354357423230055334233142344241012222100230343430,10594,5120,,15714,0.6741758941071656,0.3258241058928344
