,Nominee,Nominations,First,Last,Last - First,born,No
217,Jon Voight,4,1969,2001,32,1938,
242,Leonard Frey,1,1971,1971,0,1938,
374,Terence Stamp,1,1962,1962,0,1938,
396,Victor Buono,1,1962,1962,0,1938,
110,F. Murray Abraham,1,1984,1984,0,1939,
148,Harvey Keitel,1,1991,1991,0,1939,
158,Ian McKellen,2,1998,2001,3,1939,
189,Jason Miller,1,1973,1973,0,1939,
269,Michael J. Pollard,1,1967,1967,0,1939,
295,Paul Winfield,1,1972,1972,0,1939,
354,Sal Mineo,2,1955,1960,5,1939,
4,Al Pacino,8,1972,1992,20,1940,
48,Burt Young,1,1976,1976,0,1940,
143,Haing S. Ngor,1,1984,1984,0,1940,
173,James Caan,1,1972,1972,0,1940,
177,James Cromwell,1,1995,1995,0,1940,
207,John Hurt,2,1978,1980,2,1940,
300,Peter Fonda,1,1997,1997,0,1940,
357,Sam Waterston,1,1984,1984,0,1940,
270,Michael Lerner,1,1991,1991,0,1941,
282,Nick Nolte,2,1991,1998,7,1941,
329,Robert Forster,1,1997,1997,0,1941,
353,Ryan O'Neal,1,1970,1970,0,1941,
384,Tom Conti,1,1983,1983,0,1941,
34,Bob Hoskins,1,1986,1986,0,1942,
38,Brandon De Wilde,1,1953,1953,0,1942,
63,Chris Sarandon,1,1975,1975,0,1942,
137,Giancarlo Giannini,1,1976,1976,0,1942,
146,Harrison Ford,1,1985,1985,0,1942,
29,Ben Kingsley,4,1982,2003,21,1943,
64,Christopher Walken,2,1978,2002,24,1943,
199,Joe Pesci,2,1980,1990,10,1943,
231,Klaus Maria Brandauer,1,1985,1985,0,1943,
325,Robert De Niro,6,1974,1991,17,1943,
356,Sam Shepard,1,1983,1983,0,1943,
119,Gary Busey,1,1978,1978,0,1944,
267,Michael Douglas,1,1987,1987,0,1944,
210,John Lithgow,2,1982,1983,1,1945,
42,Bruce Davison,1,1990,1990,0,1946,
296,Pete Postlethwaite,1,1993,1993,0,1946,
367,Stephen Rea,1,1992,1992,0,1946,
372,Sylvester Stallone,1,1976,1976,0,1946,
391,Tommy Lee Jones,2,1991,1993,2,1946,
9,Albert Brooks,1,1987,1987,0,1947,
102,Edward James Olmos,1,1988,1988,0,1947,
187,James Woods,2,1986,1996,10,1947,
227,Kevin Kline,1,1988,1988,0,1947,
317,Richard Dreyfuss,2,1977,1995,18,1947,
136,Gerard Depardieu,1,1990,1990,0,1948,
195,Jeremy Irons,1,1990,1990,0,1948,
275,Mikhail Baryshnikov,1,1977,1977,0,1948,
358,Samuel L. Jackson,1,1994,1994,0,1948,
390,Tom Wilkinson,1,2001,2001,0,1948,
81,David Strathairn,1,2005,2005,0,1949,
193,Jeff Bridges,4,1971,2000,29,1949,
196,Jim Broadbent,1,2001,2001,0,1949,
383,Tom Berenger,1,1986,1986,0,1949,
31,Bill Murray,1,2003,2003,0,1950,
36,Brad Dourif,1,1975,1975,0,1950,
96,Ed Harris,4,1995,2002,7,1950,
308,Randy Quaid,1,1973,1973,0,1950,
412,William H. Macy,1,1996,1996,0,1950,
415,William Hurt,4,1985,2005,20,1950,
62,Chris Cooper,1,2002,2002,0,1951,
126,Geoffrey Rush,3,1996,2000,4,1951,
342,Robin Williams,4,1987,1997,10,1951,
58,Chazz Palminteri,1,1994,1994,0,1952,
73,Dan Aykroyd,1,1989,1989,0,1952,
139,Graham Greene,1,1990,1990,0,1952,
168,Jack Wild,1,1968,1968,0,1952,
247,Liam Neeson,1,1993,1993,0,1952,
341,Roberto Benigni,1,1998,1998,0,1952,
211,John Malkovich,2,1984,1993,9,1953,
257,Massimo Troisi,1,1995,1995,0,1953,
299,Peter Firth,1,1977,1977,0,1953,
388,Tom Hulce,1,1984,1984,0,1953,
80,David Paymer,1,1992,1992,0,1954,
86,Denzel Washington,5,1987,2001,14,1954,
214,John Travolta,2,1977,1994,17,1954,
32,Billy Bob Thornton,2,1996,1998,2,1955,
121,Gary Sinise,1,1994,1994,0,1955,
226,Kevin Costner,1,1990,1990,0,1955,
271,Michael O'Keefe,1,1980,1980,0,1955,
408,Willem Dafoe,2,1986,2000,14,1955,
15,Andy Garcia,1,1990,1990,0,1956,
106,Eric Roberts,1,1985,1985,0,1956,
387,Tom Hanks,5,1988,2000,12,1956,
76,Daniel Day-Lewis,3,1989,2002,13,1957,
266,Michael Clarke Duncan,1,1999,1999,0,1957,
11,Alec Baldwin,1,2003,2003,0,1958,
380,Tim Robbins,1,2003,2003,0,1958,
224,Ken Watanabe,1,2003,2003,0,1959,
229,Kevin Spacey,2,1995,1999,4,1959,
225,Kenneth Branagh,1,1989,1989,0,1960,
360,Sean Penn,4,1995,2003,8,1960,
378,Thomas Haden Church,1,2004,2004,0,1960,
382,Timothy Hutton,1,1980,1980,0,1960,
99,Eddie Murphy,1,2006,2006,0,1961,
111,Forest Whitaker,1,2006,2006,0,1961,
132,George Clooney,1,2005,2005,0,1961,
170,Jackie Earle Haley,1,2006,2006,0,1961,
233,Laurence Fishburne,1,1993,1993,0,1961,
381,Tim Roth,1,1995,1995,0,1961,
418,Woody Harrelson,1,1996,1996,0,1961,
306,Ralph Fiennes,2,1993,1996,3,1962,
386,Tom Cruise,3,1989,1999,10,1962,
37,Brad Pitt,1,1995,1995,0,1963,
140,Greg Kinnear,1,1997,1997,0,1963,
216,Johnny Depp,2,2003,2004,1,1963,
70,Clive Owen,1,2004,2004,0,1964,
88,Djimon Hounsou,2,2003,2006,3,1964,
90,Don Cheadle,1,2004,2004,0,1964,
259,Matt Dillon,1,2005,2005,0,1964,
283,Nicolas Cage,2,1995,2002,7,1964,
351,Russell Crowe,3,1999,2001,2,1964,
201,John C. Reilly,1,2002,2002,0,1965,
30,Benicio Del Toro,2,2000,2003,3,1967,
188,Jamie Foxx,2,2004,2004,0,1967,
290,Paul Giamatti,1,2005,2005,0,1967,
304,Philip Seymour Hoffman,1,2005,2005,0,1967,
192,Jaye Davidson,1,1992,1992,0,1968,
407,Will Smith,2,2001,2006,5,1968,
103,Edward Norton,2,1996,1998,2,1969,
191,Javier Bardem,1,2000,2000,0,1969,
375,Terrence Howard,1,2005,2005,0,1969,
109,Ethan Hawke,1,2001,2001,0,1970,
258,Matt Damon,1,1997,1997,0,1970,
324,River Phoenix,1,1988,1988,0,1970,
222,Justin Henry,1,1979,1979,0,1971,
253,Mark Wahlberg,1,2006,2006,0,1971,
221,Jude Law,2,1999,2003,4,1972,
2,Adrien Brody,1,2002,2002,0,1973,
197,Joaquin Phoenix,2,2000,2005,5,1974,
243,Leonardo DiCaprio,3,1993,2006,13,1974,
149,Heath Ledger,1,2005,2005,0,1979,
172,Jake Gyllenhaal,1,2005,2005,0,1980,
352,Ryan Gosling,1,2006,2006,0,1980,
144,Haley Joel Osment,1,1999,1999,0,1988,
