,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
74,Dan Dailey,1,1948,1948,0,1915,,197314,,1915-12-14,"New York City, New York, USA"
100,Edmond O'Brien,2,1954,1964,10,1915,,639529,,1915-9-10,"New York City, New York, USA"
115,Frank Sinatra,2,1953,1955,2,1915,,69,,1915-12-12,"Hoboken, New Jersey, USA"
198,Joe Mantell,1,1955,1955,0,1915,,544064,,1915-12-21,"Greenpoint, Brooklyn, New York City, New York, USA"
287,Orson Welles,1,1941,1941,0,1915,,80,,1915-5-6,"Kenosha, Wisconsin, USA"
141,Gregory Peck,5,1945,1962,17,1916,,60,,1916-4-5,"La Jolla [now in San Diego], California, USA"
171,Jackie Gleason,1,1961,1961,0,1916,,1276,,1916-2-26,"Bushwick, Brooklyn, New York City, New York, USA"
230,Kirk Douglas,3,1949,1956,7,1916,,18,,1916-12-9,"Amsterdam, New York, USA"
298,Peter Finch,2,1971,1976,5,1916,,2075,,1916-9-28,"South Kensington, London, England, UK"
108,Ernest Borgnine,1,1955,1955,0,1917,,308,,1917-1-24,"Hamden, Connecticut, USA"
331,Robert Mitchum,1,1945,1945,0,1917,,53,,1917-8-6,"Bridgeport, Connecticut, USA"
22,Art Carney,1,1974,1974,0,1918,,138770,,1918-11-4,"Mount Vernon, New York, USA"
28,Ben Johnson,1,1971,1971,0,1918,,424565,,1918-6-13,"Foraker, Shidler, Oklahoma, USA"
194,Jeff Chandler,1,1950,1950,0,1918,,1996,,1918-12-15,"Brooklyn, New York, USA"
203,John Dall,1,1945,1945,0,1918,,197982,,1918-5-26,"New York City, New York, USA"
334,Robert Preston,1,1982,1982,0,1918,,696481,,1918-6-8,"Newton Highlands, Massachusetts, USA"
414,William Holden,3,1950,1976,26,1918,,34,,1918-4-17,"O'Fallon, Illinois, USA"
75,Dan O'Herlihy,1,1954,1954,0,1919,,641397,,1919-5-1,"Wexford, Ireland"
166,Jack Palance,3,1952,1991,39,1919,,1588,,1919-2-18,"Lattimer Mines, Pennsylvania, USA"
255,Martin Balsam,1,1965,1965,0,1919,,842,,1919-11-4,"The Bronx, New York City, New York, USA"
311,Red Buttons,1,1957,1957,0,1919,,999,,1919-2-5,"New York City, New York, USA"
321,Richard Todd,1,1949,1949,0,1919,,865262,,1919-6-11,"Dublin, Ireland"
338,Robert Stack,1,1956,1956,0,1919,,821041,,1919-1-13,"Los Angeles, California, USA"
167,Jack Warden,2,1975,1978,3,1920,,912001,,1920-9-18,"Newark, New Jersey, USA"
274,Mickey Rooney,4,1939,1979,40,1920,,1682,,1920-9-23,"Brooklyn, New York City, New York, USA"
277,Montgomery Clift,4,1948,1961,13,1920,,1050,,1920-10-17,"Omaha, Nebraska, USA"
318,Richard Farnsworth,2,1978,1999,21,1920,,2070,,1920-9-1,"Los Angeles, California, USA"
398,Vincent Gardenia,2,1973,1987,14,1920,,306696,,1920-1-7,"Naples, Campania, Italy"
403,Walter Matthau,3,1966,1975,9,1920,,527,,1920-10-1,"Lower East Side, Manhattan, New York City, New York, USA"
419,Yul Brynner,1,1956,1956,0,1920,,989,,1920-7-11,"Vladivostok, Primorskaya Oblast, Far Eastern Republic [now Primorsky Krai, Russia]"
186,James Whitmore,2,1949,1975,26,1921,,926235,,1921-10-1,"White Plains, New York, USA"
303,Peter Ustinov,3,1951,1964,13,1921,,1811,,1921-4-16,"London, England, UK"
84,Denholm Elliott,1,1986,1986,0,1922,,1186,,1922-5-31,"Ealing, London, England, UK"
162,Jack Kruschen,1,1960,1960,0,1922,,472816,,1922-3-20,"Winnipeg, Manitoba, Canada"
169,Jackie Cooper,1,1930,1930,0,1922,,178114,,1922-9-15,"Los Angeles, California, USA"
190,Jason Robards,3,1976,1980,4,1922,,1673,,1922-7-26,"Chicago, Illinois, USA"
289,Oskar Werner,1,1965,1965,0,1922,,921459,,1922-11-13,"Vienna, Austria"
294,Paul Scofield,2,1966,1994,28,1922,,6890,,1922-1-21,"Hurstpierpoint, West Sussex, England, UK"
373,Telly Savalas,1,1962,1962,0,1922,,1699,,1922-1-21,"Garden City, Long Island, New York, USA"
55,Charles Durning,2,1982,1983,1,1923,,1164,,1923-2-28,"Highland Falls, New York, USA"
57,Charlton Heston,1,1959,1959,0,1923,,32,,1923-10-4,"Wilmette, Illinois, USA"
67,Cliff Robertson,1,1968,1968,0,1923,,731772,,1923-9-9,"La Jolla [now in San Diego], California, USA"
87,Dexter Gordon,1,1986,1986,0,1923,,330143,,1923-2-27,"Los Angeles, California, USA"
273,Michael V. Gazzo,1,1974,1974,0,1923,,311155,,1923-4-5,"Hillside, New Jersey, USA"
238,Lee Marvin,1,1965,1965,0,1924,,1511,,1924-2-19,"New York City, New York, USA"
252,Marcello Mastroianni,3,1962,1987,25,1924,,52,,1924-9-28,"Fontana Liri, Lazio, Italy"
254,Marlon Brando,8,1951,1989,38,1924,,8,,1924-4-3,"Omaha, Nebraska, USA"
346,Ron Moody,1,1968,1968,0,1924,,600531,,1924-1-8,"Tottenham, Middlesex, England, UK"
376,Theodore Bikel,1,1958,1958,0,1924,,942,,1924-5-2,"Vienna, Austria"
133,George Kennedy,1,1967,1967,0,1925,,1421,,1925-2-18,"New York City, New York, USA"
163,Jack Lemmon,8,1955,1982,27,1925,,493,,1925-2-8,"Newton, Massachusetts, USA"
293,Paul Newman,9,1958,2002,44,1925,,56,,1925-1-26,"Shaker Heights, Ohio, USA"
302,Peter Sellers,2,1964,1979,15,1925,,634,,1925-9-8,"Southsea, Hampshire, England, UK"
314,Richard Burton,7,1952,1977,25,1925,,9,,1925-11-10,"Pontrhydyfen, Wales, UK"
343,Rock Hudson,1,1956,1956,0,1925,,1369,,1925-11-17,"Winnetka, Illinois, USA"
344,Rod Steiger,3,1954,1967,13,1925,,1768,,1925-4-14,"Westhampton, New York, USA"
392,Tony Curtis,1,1958,1958,0,1925,,348,,1925-6-3,"The Bronx, New York City, New York, USA"
113,Frank Finlay,1,1965,1965,0,1926,,277975,,1926-8-6,"Farnworth, Lancashire, England, UK"
320,Richard Jaeckel,1,1971,1971,0,1926,,1395,,1926-10-10,"Long Beach, Long Island, New York, USA"
130,George C. Scott,4,1959,1971,12,1927,,1715,,1927-10-18,"Wise, Virginia, USA"
297,Peter Falk,2,1960,1961,1,1927,,393,,1927-9-16,"New York City, New York, USA"
337,Robert Shaw,1,1966,1966,0,1927,,1727,,1927-8-9,"Westhoughton, Lancashire, England, UK"
349,Rupert Crosse,1,1969,1969,0,1927,,1727,,1927-8-9,"Westhoughton, Lancashire, England, UK"
363,Sidney Poitier,2,1958,1963,5,1927,,1627,,1927-2-20,"Miami, Florida, USA"
413,William Hickey,1,1985,1985,0,1927,,382676,,1927-9-19,"Brooklyn, New York City, New York, USA"
16,Anthony Franciosa,1,1957,1957,0,1928,,290047,,1928-10-25,"New York City, New York, USA"
156,Ian Bannen,1,1965,1965,0,1928,,846,,1928-6-29,"Airdrie, Lanarkshire, Scotland, UK"
175,James Coburn,1,1998,1998,0,1928,,336,,1928-8-31,"Laurel, Nebraska, USA"
181,James Garner,1,1985,1985,0,1928,,1258,,1928-4-7,"Norman, Oklahoma, USA"
234,Laurence Harvey,1,1959,1959,0,1928,,2131,,1928-10-1,"Joniskis, Lithuania"
256,Martin Landau,3,1988,1994,6,1928,,1445,,1928-6-20,"Brooklyn, New York City, New York, USA"
370,Stuart Whitman,1,1961,1961,0,1928,,926183,,1928-2-1,"San Francisco, California, USA"
91,Don Murray,1,1956,1956,0,1929,,614916,,1929-7-31,"Hollywood, California, USA"
202,John Cassavetes,1,1967,1967,0,1929,,1023,,1929-12-9,"New York City, New York, USA"
284,Nigel Hawthorne,1,1994,1994,0,1929,,1329,,1929-4-5,"Coventry, Warwickshire, England, UK"
21,Armin Mueller-Stahl,1,1996,1996,0,1930,,90,,1930-12-17,"Tilsit, East Prussia, Germany [now Sovetsk, Kaliningrad Oblast, Russia]"
69,Clint Eastwood,2,1992,2004,12,1930,,142,,1930-5-31,"San Francisco, California, USA"
122,Gene Hackman,5,1967,1992,25,1930,,432,,1930-1-30,"San Bernardino, California, USA"
176,James Coco,1,1981,1981,0,1930,,168394,,1930-3-21,"New York City, New York, USA"
262,Maximilian Schell,3,1961,1977,16,1930,,1703,,1930-12-8,"Vienna, Austria"
319,Richard Harris,2,1963,1990,27,1930,,1321,,1930-10-1,"Limerick, Ireland"
330,Robert Loggia,1,1985,1985,0,1930,,5162,,1930-1-3,"Staten Island, New York, USA"
359,Sean Connery,1,1987,1987,0,1930,,125,,1930-8-25,"Edinburgh, Scotland, UK"
368,Steve McQueen,1,1966,1966,0,1930,,537,,1930-3-24,"Beech Grove, Indiana, USA"
157,Ian Holm,1,1981,1981,0,1931,,453,,1931-9-12,"Goodmayes, Essex, England, UK"
178,James Dean,2,1955,1956,1,1931,,15,,1931-2-8,"Marion, Indiana, USA"
180,James Earl Jones,1,1970,1970,0,1931,,469,,1931-1-17,"Arkabutla, Mississippi, USA"
281,Nick Adams,1,1963,1963,0,1931,,11244,,1931-7-10,"Nanticoke, Pennsylvania, USA"
323,Rip Torn,1,1983,1983,0,1931,,1800,,1931-2-6,"Temple, Texas, USA"
328,Robert Duvall,6,1972,1998,26,1931,,380,,1931-1-5,"San Diego, California, USA"
18,Anthony Perkins,1,1956,1956,0,1932,,578,,1932-4-4,"New York City, New York, USA"
200,Joel Grey,1,1972,1972,0,1932,,1297,,1932-4-11,"Cleveland, Ohio, USA"
285,Noriyuki 'Pat' Morita,1,1984,1984,0,1932,,1552,Pat Morita,1932-6-28,"Isleton, California, USA"
286,Omar Sharif,1,1962,1962,0,1932,,1725,,1932-4-10,"Alexandria, Egypt"
301,Peter O'Toole,8,1962,2006,44,1932,,564,,1932-8-2,"Hunslet, Leeds, Yorkshire, England, UK"
340,Robert Vaughn,1,1959,1959,0,1932,,1816,,1932-11-22,"New York City, New York, USA"
348,Roy Scheider,2,1971,1979,8,1932,,1702,,1932-11-10,"Orange, New Jersey, USA"
0,Adolph Caesar,1,1984,1984,0,1933,,128360,,1933-12-5,"New York City, New York, USA"
77,Daniel Massey,1,1968,1968,0,1933,,557292,,1933-10-10,"London, England, UK"
78,Danny Aiello,1,1989,1989,0,1933,,732,,1933-6-20,"New York City, New York, USA"
125,Gene Wilder,1,1968,1968,0,1933,,698,,1933-6-11,"Milwaukee, Wisconsin, USA"
251,Mako,1,1966,1966,0,1933,,538683,,1933-12-10,"Kobe, Japan"
264,Michael Caine,6,1966,2002,36,1933,,323,,1933-3-14,"Rotherhithe, London, England, UK"
315,Richard Castellano,1,1970,1970,0,1933,,144710,Richard S. Castellano,1933-9-4,"The Bronx, New York City, New York, USA"
6,Alan Arkin,3,1966,2006,40,1934,,273,,1934-3-26,"New York City, New York, USA"
7,Alan Bates,1,1968,1968,0,1934,,869,,1934-2-17,"Allestree, Derbyshire, England, UK"
131,George Chakiris,1,1961,1961,0,1934,,1995,,1934-9-16,"Norwood, Ohio, USA"
135,George Segal,1,1966,1966,0,1934,,1719,,1934-2-13,"Great Neck, Long Island, New York, USA"
268,Michael Dunn,1,1965,1965,0,1934,,242692,,1934-10-20,"Shattuck, Oklahoma, USA"
350,Russ Tamblyn,1,1957,1957,0,1934,,848560,,1934-12-30,"Los Angeles, California, USA"
93,Dudley Moore,1,1981,1981,0,1935,,1545,,1935-4-19,"Dagenham, Essex, England, UK"
220,Judd Hirsch,1,1980,1980,0,1935,,2139,,1935-3-15,"The Bronx, New York City, New York, USA"
362,Seymour Cassel,1,1968,1968,0,1935,,1025,,1935-1-22,"Detroit, Michigan, USA"
393,Topol,1,1971,1971,0,1935,,867694,,1935-9-9,"Tel Aviv, Palestine [now Israel]"
417,Woody Allen,1,1977,1977,0,1935,,95,,1935-12-1,"Brooklyn, New York City, New York, USA"
5,Alan Alda,1,2004,2004,0,1936,,257,,1936-1-28,"The Bronx, New York City, New York, USA"
