,Nominee,Nominations,First,Last,Last - First,born,No
262,Madeline Kahn,2,1973,1974,1,1942,
283,Marsha Mason,4,1973,1981,8,1942,
63,Catherine Deneuve,1,1992,1992,0,1943,
106,Elizabeth Hartman,1,1965,1965,0,1943,
261,Lynn Redgrave,2,1966,1998,32,1943,
397,Tuesday Weld,1,1977,1977,0,1943,
401,Valerie Perrine,1,1974,1974,0,1943,
85,Diana Ross,1,1972,1972,0,1944,
186,Jill Clayburgh,2,1978,1979,1,1944,
267,Margaret Avery,1,1985,1985,0,1944,
275,Marie-Christine Barrault,1,1976,1976,0,1944,
376,Sondra Locke,1,1968,1968,0,1944,
380,Stockard Channing,1,1993,1993,0,1944,
43,Bette Midler,2,1979,1991,12,1945,
49,Brenda Fricker,1,1989,1989,0,1945,
58,Carrie Snodgress,1,1970,1970,0,1945,
62,Catherine Burns,1,1969,1969,0,1945,
142,Goldie Hawn,2,1969,1980,11,1945,
153,Helen Mirren,3,1994,2006,12,1945,
248,Linda Hunt,1,1983,1983,0,1945,
331,Patty McCormack,1,1956,1956,0,1945,
350,Ronee Blakley,1,1975,1975,0,1945,
385,Susan Tyrrell,1,1972,1972,0,1945,
48,Brenda Blethyn,2,1996,1998,2,1946,
51,Candice Bergen,1,1979,1979,0,1946,
70,Cher,2,1983,1987,4,1946,
89,Diane Keaton,4,1977,2003,26,1946,
240,Lesley Ann Warren,1,1982,1982,0,1946,
251,Liza Minnelli,2,1969,1972,3,1946,
330,Patty Duke,1,1962,1962,0,1946,
357,Sally Field,2,1979,1984,5,1946,
384,Susan Sarandon,5,1981,1995,14,1946,
389,Talia Shire,2,1974,1976,2,1946,
21,Anne Archer,1,1987,1987,0,1947,
52,Candy Clark,1,1973,1973,0,1947,
137,Glenn Close,5,1982,1988,6,1947,
392,Teri Garr,1,1982,1982,0,1947,
34,Barbara Hershey,1,1996,1996,0,1948,
93,Dianne Wiest,3,1986,1994,8,1948,
223,Kathy Bates,3,1990,2002,12,1948,
249,Lindsay Crouse,1,1984,1984,0,1948,
301,Mercedes Ruehl,1,1991,1991,0,1948,
339,Penelope Milford,1,1978,1978,0,1948,
179,Jeannie Berlin,1,1972,1972,0,1949,
184,Jessica Lange,6,1982,1994,12,1949,
303,Meryl Streep,14,1978,2006,28,1949,
373,Sigourney Weaver,3,1986,1988,2,1949,
375,Sissy Spacek,6,1976,2001,25,1949,
9,Amy Madigan,1,1985,1985,0,1950,
72,Christine Lahti,1,1984,1984,0,1950,
212,Julie Walters,2,1983,2000,17,1950,
217,Kate Nelligan,1,1991,1991,0,1950,
394,Tess Harper,1,1986,1986,0,1950,
14,Anjelica Huston,3,1985,1990,5,1951,
3,Alfre Woodard,1,1983,1983,0,1952,
55,Carol Kane,1,1975,1975,0,1952,
287,Mary Badham,1,1962,1962,0,1952,
289,Mary McDonnell,2,1990,1992,2,1952,
372,Shohreh Aghdashloo,1,2003,2003,0,1952,
8,Amy Irving,1,1983,1983,0,1953,
229,Kim Basinger,1,1997,1997,0,1953,
291,Mary Steenburgen,1,1980,1980,0,1953,
221,Kathleen Quinlan,1,1995,1995,0,1954,
222,Kathleen Turner,1,1986,1986,0,1954,
253,Lorraine Bracco,1,1990,1990,0,1954,
326,Oprah Winfrey,1,1985,1985,0,1954,
83,Debra Winger,3,1982,1993,11,1955,
86,Diana Scarwid,1,1980,1980,0,1955,
164,Isabelle Adjani,2,1975,1989,14,1955,
204,Judy Davis,2,1984,1992,8,1955,
239,Lena Olin,1,1989,1989,0,1955,
407,Whoopi Goldberg,2,1985,1990,5,1955,
1,Adriana Barraza,1,2006,2006,0,1956,
127,Geena Davis,2,1988,1991,3,1956,
161,Imelda Staunton,1,2004,2004,0,1956,
188,Joan Allen,3,1995,2000,5,1956,
125,Frances McDormand,4,1988,2005,17,1957,
241,Leslie Browne,1,1977,1977,0,1957,
297,Melanie Griffith,1,1988,1988,0,1957,
11,Angela Bassett,1,1993,1993,0,1958,
27,Annette Bening,3,1990,2004,14,1958,
157,Holly Hunter,4,1987,2003,16,1958,
183,Jennifer Tilly,1,1994,1994,0,1958,
288,Mary Elizabeth Mastrantonio,1,1986,1986,0,1958,
304,Michelle Pfeiffer,3,1988,1992,4,1958,
311,Miranda Richardson,2,1992,1994,2,1958,
366,Sharon Stone,1,1995,1995,0,1958,
64,Catherine Keener,2,1999,2005,6,1959,
113,Emma Thompson,4,1992,1995,3,1959,
247,Linda Blair,1,1973,1973,0,1959,
265,Marcia Gay Harden,2,2000,2003,3,1959,
266,Mare Winningham,1,1995,1995,0,1959,
327,Patricia Clarkson,1,2003,2003,0,1959,
66,Cathy Moriarty,1,1980,1980,0,1960,
208,Julianne Moore,4,1997,2002,5,1960,
232,Kristin Scott Thomas,1,1996,1996,0,1960,
296,Meg Tilly,1,1985,1985,0,1960,
107,Elizabeth McGovern,1,1981,1981,0,1961,
172,Janet McTeer,1,1999,1999,0,1961,
276,Mariel Hemingway,1,1979,1979,0,1961,
